GEOID10,STUSPS10,NAME10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,DP0010001,DP0010002,DP0010003,DP0010004,DP0010005,DP0010006,DP0010007,DP0010008,DP0010009,DP0010010,DP0010011,DP0010012,DP0010013,DP0010014,DP0010015,DP0010016,DP0010017,DP0010018,DP0010019,DP0010020,DP0010021,DP0010022,DP0010023,DP0010024,DP0010025,DP0010026,DP0010027,DP0010028,DP0010029,DP0010030,DP0010031,DP0010032,DP0010033,DP0010034,DP0010035,DP0010036,DP0010037,DP0010038,DP0010039,DP0010040,DP0010041,DP0010042,DP0010043,DP0010044,DP0010045,DP0010046,DP0010047,DP0010048,DP0010049,DP0010050,DP0010051,DP0010052,DP0010053,DP0010054,DP0010055,DP0010056,DP0010057,DP0020001,DP0020002,DP0020003,DP0030001,DP0030002,DP0030003,DP0040001,DP0040002,DP0040003,DP0050001,DP0050002,DP0050003,DP0060001,DP0060002,DP0060003,DP0070001,DP0070002,DP0070003,DP0080001,DP0080002,DP0080003,DP0080004,DP0080005,DP0080006,DP0080007,DP0080008,DP0080009,DP0080010,DP0080011,DP0080012,DP0080013,DP0080014,DP0080015,DP0080016,DP0080017,DP0080018,DP0080019,DP0080020,DP0080021,DP0080022,DP0080023,DP0080024,DP0090001,DP0090002,DP0090003,DP0090004,DP0090005,DP0090006,DP0100001,DP0100002,DP0100003,DP0100004,DP0100005,DP0100006,DP0100007,DP0110001,DP0110002,DP0110003,DP0110004,DP0110005,DP0110006,DP0110007,DP0110008,DP0110009,DP0110010,DP0110011,DP0110012,DP0110013,DP0110014,DP0110015,DP0110016,DP0110017,DP0120001,DP0120002,DP0120003,DP0120004,DP0120005,DP0120006,DP0120007,DP0120008,DP0120009,DP0120010,DP0120011,DP0120012,DP0120013,DP0120014,DP0120015,DP0120016,DP0120017,DP0120018,DP0120019,DP0120020,DP0130001,DP0130002,DP0130003,DP0130004,DP0130005,DP0130006,DP0130007,DP0130008,DP0130009,DP0130010,DP0130011,DP0130012,DP0130013,DP0130014,DP0130015,DP0140001,DP0150001,DP0160001,DP0170001,DP0180001,DP0180002,DP0180003,DP0180004,DP0180005,DP0180006,DP0180007,DP0180008,DP0180009,DP0190001,DP0200001,DP0210001,DP0210002,DP0210003,DP0220001,DP0220002,DP0230001,DP0230002,Shape_Leng,Shape_Area,DP0240001,DP0210004,DP0210005,DP0080025,DP0080026,DP0080027,DP0080028,DP0020004
56,WY,Wyoming,2.51E+11,1864445306,42.9918024,-107.5419255,563626,40203,37213,35955,38142,40318,41276,36373,33861,33105,39472,44105,40946,32567,22974,16594,12492,9428,8602,287437,20596,19203,18592,19626,21315,21752,18919,17702,17149,19713,22450,20928,16878,11555,8126,5704,4176,3053,276189,19607,18010,17363,18516,19003,19524,17454,16159,15956,19759,21655,20018,15689,11419,8468,6788,5252,5549,36.8,36,37.7,443141,225399,217742,428224,217661,210563,403736,205014,198722,88534,42154,46380,70090,32614,37476,563626,551265,511279,4748,13336,4426,589,1044,901,454,508,191,739,427,147,101,70,109,17049,12361,4466,1737,1900,2498,522739,7285,18596,6729,1063,20224,563626,50231,37719,1026,275,11211,513395,563626,50231,27405,397,1552,147,62,16612,4056,513395,483874,4351,11784,4279,365,437,8305,563626,549914,226879,115534,149130,121369,22920,10283,2450,35451,3039,1149,16088,13712,6701,4273,2428,7011,3989,3022,226879,146644,63736,115534,44512,10993,6431,20117,12793,80235,63480,33252,6739,30228,13253,70195,49989,2.42,2.96,261868,226879,34989,7304,458,3376,781,14892,8178,2.1,9.4,226879,157077,69802,392427,157487,2.5,2.26,22.00187804,27.97170467,1.041,69.23%,30.77%,90.71%,0.84%,0.79%,2.37%,1.7
42,PA,Pennsylvania,1.16E+11,3397122731,40.9042486,-77.8280624,12702379,729538,753635,791151,905066,874146,781527,729592,764287,851382,955763,984641,879048,743296,553002,426536,362332,311761,305676,6190363,373216,384359,405227,462465,441886,392569,364681,380172,421689,470543,484289,430202,358008,258653,192187,153890,120931,95396,6512016,356322,369276,385924,442601,432260,388958,364911,384115,429693,485220,500352,448846,385288,294349,234349,208442,190830,210280,40.1,38.7,41.5,10260299,4941116,5319183,9910224,4760912,5149312,9331047,4468432,4862615,2390028,1027972,1362056,1959307,821057,1138250,12702379,12464544,10406288,1377689,26843,349088,103026,84812,21948,6492,40505,39008,53297,3653,940,968,453,1292,300983,237835,27502,36127,87287,27627,10604187,1507965,81092,402587,12424,352183,12702379,719660,129568,366082,17930,206080,11982719,12702379,719660,311636,50598,9934,2800,938,284514,59240,11982719,10094652,1327091,16909,346288,2715,16469,178595,12702379,12276266,5018904,2417765,3517169,2491195,637999,239819,122261,684429,45899,34697,332717,426113,197112,125272,71840,229001,110364,118637,5018904,3261307,1352324,2417765,919067,229495,108679,614047,324578,1757597,1433415,620575,159653,812840,412972,1498948,1398662,2.45,3.02,5567315,5018904,548411,135262,9386,64818,20131,161582,157232,1.8,8.1,5018904,3491722,1527182,8974740,3301526,2.57,2.16,17.83626644,12.74728367,0.951,69.57%,30.43%,81.92%,10.85%,2.75%,0.21%,2.8
39,OH,Ohio,1.06E+11,10269012119,40.4149297,-82.7119975,11536504,720856,747889,774699,823682,763116,718630,691329,718462,761369,855134,887057,786857,665409,478864,371370,297519,243833,230429,5632156,367479,382641,396152,420975,384202,357837,344087,356420,377896,420425,434740,383440,320421,223797,167142,126706,95450,72346,5904348,353377,365248,378547,402707,378914,360793,347242,362042,383473,434709,452317,403417,344988,255067,204228,170813,148383,158083,38.8,37.4,40,9133831,4404397,4729434,8805753,4236246,4569507,8305392,3982096,4323296,2003021,868516,1134505,1622015,685441,936574,11536504,11298739,9539437,1407681,25292,192233,64187,43818,16899,10162,15281,13121,28765,4066,928,1145,702,1291,130030,237765,40911,33031,99741,19087,9751547,1541771,90124,238292,10525,161639,11536504,354674,172029,94965,7523,80157,11181830,11536504,354674,180174,18566,4386,1468,666,114872,34542,11181830,9359263,1389115,20906,190765,3400,15158,203223,11536504,11230238,4603435,2173477,3287475,2436267,547854,233699,78113,617997,52645,22921,311455,306266,166042,101053,64989,140224,71589,68635,4603435,2991629,1293126,2173477,837703,215841,110624,602311,344799,1611806,1328550,587486,133956,741064,345893,1438580,1163804,2.44,3.01,5127508,4603435,524073,184143,8126,78089,19263,58591,175861,2.4,10.9,4603435,3111054,1492381,7889424,3340814,2.54,2.24,16.51913105,12.32006896,0.954,67.58%,32.42%,82.69%,12.20%,1.67%,0.22%,2.6
35,NM,New Mexico,3.14E+11,756659673,34.4391265,-106.1261511,2059179,144981,143308,141691,149861,142370,139678,127567,123303,125220,144839,147170,136799,120137,87890,65904,50230,36238,31993,1017421,74078,72736,72021,76792,72974,71419,64586,61392,62249,71419,71383,65567,58201,41962,30879,22883,15504,11376,1041758,70903,70572,69670,73069,69396,68259,62981,61911,62971,73420,75787,71232,61936,45928,35025,27347,20734,20617,36.7,35.3,38,1600398,783804,816594,1540507,753092,787415,1449403,706362,743041,341154,155774,185380,272255,122604,149651,2059179,1982169,1407876,42550,193222,28208,4550,5729,4963,2208,2423,4726,3609,1810,660,420,302,428,308503,77010,16705,7647,7413,28241,1473005,57040,219512,40456,4698,346627,2059179,953403,590890,7964,4298,350251,1105776,2059179,953403,574066,7088,17854,1903,564,304753,47175,1105776,833810,35462,175368,26305,1246,3750,29835,2059179,2016550,791395,358354,594731,436675,153230,71226,17240,118840,8166,5954,65202,42629,25266,19060,6206,17363,10501,6862,791395,518698,230612,358354,141609,49408,26924,110936,62079,272697,221347,106107,24802,115240,49014,267023,200089,2.55,3.13,901388,791395,109993,22150,1303,11050,2143,36612,36735,2,8.1,791395,542122,249273,1411453,605097,2.6,2.43,23.6837699,30.89289096,0.977,68.50%,31.50%,68.37%,2.07%,1.37%,9.38%,2.7
24,MD,Maryland,25141638381,6989579585,38.9466584,-76.6744939,5773552,364488,366868,379029,406241,393698,393548,368494,377409,418163,461585,440619,377989,317779,226596,159761,124579,98580,98126,2791762,185916,186865,193068,208249,199923,194223,179279,181543,200934,221969,211218,179108,149941,104873,72158,53066,38419,31010,2981790,178572,180003,185961,197992,193775,199325,189215,195866,217229,239616,229401,198881,167838,121723,87603,71513,60161,67116,38,36.4,39.3,4584109,2185344,2398765,4420588,2101662,2318926,4175913,1975690,2200223,890542,385925,504617,707642,299526,408116,5773552,5608844,3359284,1700298,20420,318853,79051,69381,43923,6749,48592,23635,47522,3157,634,1319,308,896,206832,164708,15044,32516,46677,20284,3488887,1783899,58657,370044,9826,243383,5773552,470632,88004,42572,10366,329690,5302920,5773552,470632,201326,26069,6605,2159,745,194860,38868,5302920,3157958,1674229,13815,316694,2412,11972,125840,5773552,5635177,2156411,1026739,1659071,1170334,425161,151970,64053,367795,26223,15483,137828,138375,66838,44916,21922,71537,36903,34634,2156411,1447002,651028,1026739,439471,104375,47191,315888,164366,709409,563003,234157,53018,328846,135362,738706,516358,2.61,3.15,2378814,2156411,222403,61874,3742,32883,6586,55786,61532,2.2,8.1,2156411,1455775,700636,3940520,1694657,2.71,2.42,15.05580283,3.338793814,0.936,67.51%,32.49%,58.18%,29.45%,5.52%,0.35%,2.9
44,RI,Rhode Island,2677566454,1323668539,41.5978358,-71.5252895,1052567,57448,60440,63824,80046,82167,65799,61163,63730,73130,81300,81050,70634,59955,42802,31077,26645,24607,26750,508400,29396,31051,32673,40157,41229,33126,30056,31185,35635,39435,39138,33908,28969,19999,13805,11219,9262,8157,544167,28052,29389,31151,39889,40938,32673,31107,32545,37495,41865,41912,36726,30986,22803,17272,15426,15345,18593,39.4,37.8,40.8,857232,408324,448908,828611,393724,434887,771272,365478,405794,186586,79090,107496,151881,62442,89439,1052567,1017780,856869,60189,6058,30457,4653,6860,2621,639,2138,1326,12220,554,96,232,40,186,63653,34787,3223,4432,8201,6375,882280,77754,14394,36763,2260,77592,1052567,130655,9090,34979,1640,84946,921912,1052567,130655,53184,8629,2038,469,249,54778,11308,921912,803685,51560,4020,29988,305,8875,23479,1052567,1009904,413600,183904,289094,201195,57330,18366,11630,65976,3468,2822,31341,42663,12932,6514,6418,29731,14110,15621,413600,259561,113246,183904,72675,19694,8916,55963,31655,154039,122488,52476,12999,70012,33903,124603,109873,2.44,3.04,463388,413600,49788,15763,727,5171,1219,17077,9831,2,8.8,413600,250952,162648,650674,359230,2.59,2.21,3.676210382,0.432105435,0.934,60.68%,39.32%,81.41%,5.72%,2.89%,0.58%,3
41,OR,Oregon,2.49E+11,6191433228,43.9715225,-120.6226269,3831074,237556,237214,242553,254860,253048,265033,259111,251163,248362,262879,276196,273423,236143,169847,120194,91601,74019,77872,1896002,121828,121159,124118,130677,128461,133636,131139,127827,125760,130601,134896,132857,115209,81930,57120,41253,30860,26671,1935072,115728,116055,118435,124183,124587,131397,127972,123336,122602,132278,141300,140566,120934,87917,63074,50348,43159,51201,38.4,37.3,39.5,3064689,1503630,1561059,2964621,1452158,1512463,2806429,1371427,1435002,669125,303808,365317,533533,237834,295699,3831074,3686315,3204614,69206,53203,141263,16740,30919,15861,12085,15212,26195,24251,13404,3060,1755,1559,7030,204625,144759,44530,32589,19302,20237,3337309,98479,109223,186281,25785,231789,3831074,450062,369817,8845,4923,66477,3381012,3831074,450062,198766,4222,10497,1827,707,199123,34920,3381012,3005848,64984,42706,139436,12697,5502,109839,3831074,3744432,1518938,733741,1003171,772039,192322,69120,28336,296260,20960,14221,122135,86642,36612,26190,10422,50030,25760,24270,1518938,963467,414160,733741,283674,70921,37840,158805,92646,555471,416747,185048,43703,231699,104295,456775,384382,2.47,3,1675562,1518938,156624,40193,2608,24191,4401,55473,29758,2.5,6.5,1518938,944485,574453,2386743,1357689,2.53,2.36,25.9795134,28.56853536,0.980,62.18%,37.82%,83.65%,1.81%,3.69%,1.39%,2.2
72,PR,Puerto Rico,8867536532,4923745357,18.217648,-66.4107992,3725789,224756,240004,268571,284259,260850,244159,248173,241270,242258,247986,239821,223607,218077,175411,136251,100740,67000,62596,1785171,115173,123228,137289,144853,130577,118578,119708,115981,114941,115470,110600,102262,100090,80178,61731,43625,27582,23305,1940618,109583,116776,131282,139406,130273,125581,128465,125289,127317,132516,129221,121345,117987,95233,74520,57115,39418,39291,36.9,35.1,38.6,2936037,1380329,1555708,2822494,1322648,1499846,2649994,1235203,1414791,672680,296393,376287,541998,236421,305577,3725789,3603543,2825100,461498,19839,6831,3523,2187,251,160,117,165,428,370,120,30,30,190,289905,122246,1905,1322,63552,24560,2928808,550259,35753,10464,2628,333668,3725789,3688455,9965,3554642,17860,105988,37334,3725789,3688455,2798154,456835,19510,3901,293,288879,120883,37334,26946,4663,329,2930,77,1026,1363,3725789,3687834,1376531,619876,1265212,763558,301769,131229,44080,124446,5152,10001,88147,37955,24444,18000,6444,13511,8312,5199,1376531,1006317,431712,619876,250652,75044,30575,311397,150485,370214,327560,149387,45269,178173,85481,508860,406899,2.68,3.17,1636946,1376531,260415,43298,3969,28182,8202,59537,117227,2.8,9.9,1376531,986165,390366,2663043,1024791,2.7,2.63,7.427676382,1.177988763,0.920,71.64%,28.36%,75.83%,12.39%,0.18%,0.53%,3.5
55,WI,Wisconsin,1.40E+11,29366760483,44.628484,-89.7119299,5686986,358443,368617,375927,399209,386552,372347,349347,345328,380338,437627,436126,385986,313825,227029,173467,141252,117061,118505,2822400,183391,188286,192232,204803,196897,189349,178120,174619,191738,218539,218303,192952,155756,109168,81067,62181,47549,37450,2864586,175052,180331,183695,194406,189655,182998,171227,170709,188600,219088,217823,193034,158069,117861,92400,79071,69512,81055,38.5,37.3,39.6,4506907,2218662,2288245,4347494,2136810,2210684,4104027,2012681,2091346,955702,425579,530123,777314,337415,439899,5686986,5582669,4902067,359148,54526,129234,22899,17558,7930,2729,7919,4877,65322,1827,547,387,184,709,135867,104317,22491,16578,32590,14396,4995836,403527,86228,151513,5117,156494,5686986,336056,244248,46323,3696,41789,5350930,5686986,336056,163656,8250,6015,1182,262,131772,24919,5350930,4738411,350898,48511,128052,1565,4095,79398,5686986,5536772,2279768,1131344,1582898,1230626,203151,78351,29470,339611,26232,12607,166123,150214,74295,47655,26640,75919,36580,39339,2279768,1468917,647472,1131344,443396,103625,57788,233948,146288,810851,642507,293079,65368,349428,166883,697744,547650,2.43,2.99,2624358,2279768,344590,63268,3695,34219,5741,193046,44621,2.2,8,2279768,1551558,728210,3964396,1572376,2.56,2.16,23.4471436,19.24459127,0.985,68.06%,31.94%,86.20%,6.32%,2.27%,0.96%,2.3
38,ND,North Dakota,1.79E+11,4396568298,47.4569538,-100.4619304,672591,44595,40076,39790,47474,58956,49596,40889,37065,38197,46380,50277,45946,35873,26028,20845,18368,15548,16688,339864,22821,20520,20361,24626,31530,26451,21601,19209,19617,23461,25306,23634,18300,12902,9635,8125,6314,5451,332727,21774,19556,19429,22848,27426,23145,19288,17856,18580,22919,24971,22312,17573,13126,11210,10243,9234,11237,37,35.5,38.7,539946,271997,267949,522720,263076,259644,488172,244884,243288,117775,52645,65130,97477,42427,55050,672591,660738,605449,7960,36591,6909,1543,1515,924,276,609,640,1402,320,88,65,49,118,3509,11853,5455,1738,2127,823,616350,11086,42996,9193,782,4717,672591,13467,9223,987,260,2997,659124,672591,13467,7442,240,1029,70,30,3168,1488,659124,598007,7720,35562,6839,290,341,10365,672591,647535,281192,136522,171154,139037,18541,7447,2182,40126,2639,1056,17867,25056,9675,4638,5037,15381,9048,6333,281192,170916,73482,136522,52438,11406,6320,22988,14724,110276,88563,43478,8766,45085,22161,78381,67261,2.3,2.91,317498,281192,36306,7422,554,2734,1043,11483,13070,1.5,7.1,281192,183943,97249,457030,190505,2.48,1.96,25.18629056,21.83969624,1.021,65.42%,34.58%,90.02%,1.18%,1.03%,5.44%,3.2
